CÓDIGO;AUTOR;TÍTULO;EJEM.
320/2565;DESCENTRALIZACIÓN Y DEMOCRACIA ;JORGE VON BORRIES MÉNDEZ;2
320/2566;GACETA OFICIAL DEL ESTADO PLURINACIONAL DE BOLIVIA ;LEY N° 017 DE 24 DE MAYO 2010;2
320/2567;STEVENS  MARK ;LAS OCHO GRANDES - EL PRIMER LIBRO SOBRE LAS MULTINACIONALES MÁS PODEROSAS E INFLUYENTES QUE ASESORAN AL MUNDO EMPRESARIAL;1
320/2569;GABILONDO ÁNGEL ;EL DISCURSO EN ACCIÓN ;1
320/2570;VALENCIA VEGA  ALIPIO ;FUNDAMENTOS DE DERECHO POLÍTICO ;1
320/2571;MARIAS  JULIÁN ;HISTORIA DE LA FILOSOFÍA ;1
320/2572;GORBACHOV MIJAIL ;EL POTENCIAL DEL COOPERATIVISMO PARA LA PERESTROIKA ;1
320/2574;CATOIRA MARÍN  RICARDO ;LAS CLASES SOCIALES EN BOLIVIA  1994;1
320/2577;MOORE STANLEY ;CRITICA DE LA DEMOCRACIA CAPITALISTA (UNA INTRODUCCIÓN A LA TEORÍA DEL ESTADO EN MARX, ENGELS Y LENIN;1
320/2578;GOMEZ RUEDA HECTOR O. ;TEORÍA Y DOCTRINA DE LA GEOPOLITICA ;1
320/2579;IGNACIO MASSINI  CARLOS ;ENSAYO CRITICO ACERCA DELA PENSAMIENTO FILOSÓFICO-JURIDICO DE CARLOS MARX;1
320/2580;SELECCIONES DE LA PRENSA SOVIETICA -REVISTA  4ABRIL 1986;SOCIALISMO -TEORÍA Y PRÁCTICA ;1
320/2581; ENGLES LENIN  MARX;LA SOCIEDAD COMUNISTA;1
320/2583;GARCÍA LINERA  ALVARO ;REPROLETARIZACIÓN (NUEVA CLASE OBRERA Y DESARROLLO DEL CAPITAL INDUSTRIAL EN BOLIVIA -1952-1998);1
320/2584;SOLON PABLO ;LA TIERRA PROMETIDA (UN APORTE AL DEBATE SOBRE LAS MODIFICACIONES A LA LEGISLACION AGRARIA;1
320/2585;CHIARAMONTE  JOSE CARLOS ;FORMAS DE SOCIEDAD Y ECONOMÍA EN HISPANOAMÉRICA;1
320/2586;MARX  CARLOS  ;LA GÉNESIS DEL CAPITAL;1
320/2587;O' DONNELL DANIEL ;PROTECCION INTERNACIONAL DE LOS DERECHOS HUMANOS ;1
320/2588;H. CAMARA DE DIPUTADOS LEGISLATURA 1993-1994;COMISION DE DERECHOS HUMANOS INFORME DE ACTIVIDADES;1
320/2589;MÉNDEZ ALPIRE  RONALD ;BUSINESS EL FRAUDE FINANCIERO ;1
320/2590;ZAVALETA MERCADO  RENÉ ;BOLIVIA: CRECIMIENTO DE LA IDEA NACIONAL ;1
320/2591;LAVAYEN DE DISCH GUIOMAR WILDE ;LEGADO DE LIBERTAD;1
320/2592; GUTIERREZ SANCHEZ  PRIMITIVO;DISTORSIONES FISCALES (EN EL IMPUESTO SOBRE LAS UTILIDADES DE LAS EMPRESAS…...);1
320/2593;PRISMA;GLOBALIZACIÓN , DESCENTRALIZACIÓN Y TERRITORIO ;1
320/2595;FEDOROVSKI  N. ;"ACERCA DEL TRABAJO DE CARLOS MARX ""LA GUERRA CIVIL EN FRANCIA""";1
320/2596;REPUBLICA DE BOLIVIA /  MINISTERIO DE DESARROLLO HUMANO  ;EL PULSO DE LA DEMOCRACIA (PARTICIPACIÓN CIUDADANIA Y DESCENTRALIZACIÓN EN BOLIVIA ;1
320/2597;KAPAN  MARCOS ;EL ESTADO LATINOAMERICANO ;1
320/2598;FIGUEROA VÍCTOR ;REINTERPRETANDO EL SUBDESARROLLO ;1
320/2599;LORA CAM JORGE ;EL EZLN Y SENDERO LUMINOSO (RADICALISMO DE IZQUIERDA Y CONFRONTACIÓN POLÍTICO- MILITAR EN AMÉRICA LATINA ;1
320/2600;INFORME DE LABORES DE 2005 -APERTURA DEL AÑO JUDICIAL DE 2006 ;CORTE SUPERIOR DE JUSTICIA DISTRITO SANTA CRUZ;1
320/2602;DÍAZ DE KÓBILA  ESTHER ;ELEMENTOS PARA UNA GENEOLOGÍA DE LA EPISTEMOLOGÍA ;1
320/2603;UNIVERSIDAD MAYOR  DE SAN ANDRES -CARRERA CIENCIAS POLÍTICAS ;CIENCIA POLÍTICA AÑO 2 -N°2 -2° EPOCA -LA PAZ - BOLIVIA  (DEMOCRACIA);1
320/2604; N. OLIVEROS MARTHA;EL TERRORISMO Y LA RESPONSABILIDAD INTERNACIONAL DEL ESTADO ;1
320/2605;DR.  COVARRUBIAS FRANCISCO / DRA. GIROLA  LIDIA / DR. GUTIERREZ PANTOJA  J. GABRIEL ;EPISTEMOLOGÍA Y METODOLOGÍA EN LA INVESTIGACIÓN SOCIOLÓGICA;1
320/2606;S. DI TELLA TORCUATO ;LOS PARTIDOS POLÍTICOS (TEORÍA Y ANALISI COMPARATIVO);1
320/2607;LIJPHART AREND ;LAS DEMOCRACIAS CONTEMPORÁNEAS 2 DA EDICIÓN ;1
320/2608;RUIZ GONZALEZ  RAUL ;LA EXPERIENCIA DEL SOCIALISMO  (LA PAZ -BOLIVIA 1991);1
320/2610;P. HUNTINGTON SAMUEL ;EL CHOQUE DE CIVILIZACIONES Y LA CONFIGURACIÓN DEL ORDEN MUNDIAL;1
320/2612;BEVERAGGI ALLENDE  WALTER ;MANUAL DE ECONOMÍA POLÍTICA ;1
320/2614;GONZALEZ M.  RENÉ ;BREVE HISTORIA DE LAS IDEAS POLITICAS EN EL MUNDO Y EN BOLIVIA ;1
320/2615;S. FAYT  CARLOS ;TEORÍA DE LA POLÍTICA  2° EDICIÓN ;1
320/2617;ARANZAES  NICANOR ;LAS REVOLUCIONES EN BOLIVIA ;1
320/2618;ABOG. GUZMAN DURAN LUIS JUVENAL , LL.M.;DERECHO INTERINTERNO;1
320/2619;ESPINOZA SORIANO  WALDEMAR ;LOS MODOS DE PRODUCCION EN EL IMPERIO DE LOS INCAS ;1
320/2620;AFANÁSIEV V. ;MANUAL DE FILOSOFÍA ;1
320/2621; HUERTA GUERRERO  LUIS ALERTO;EL DEBIDO PROCESO EN LAS DECISIONES DE LA CORTE INTERAMERICANA DE DERECHOS HUMANOS ;1
320/2622;TOURAINE  ALAIN ;¿CÓMO SALIR DEL LIBERALISMO?;1
320/2623;DIETERICH HEINZ  /DUSSEL ENRIQUE  /RAIMUNDO FRANCO /ARNO PETERS;"FIN DEL CAPITALISMO GLOBAL ""EL NUEVO PROYECTO HISTÓRICO""";1
320/2624;CARRERA DE C.POLITICA Y ADM PUBLICA FJPSRI-UAGRM.;CONOCIMIENTO I POLITICA ;1
320/2625;SAVCHENKO P. ;¿QUÉ ES EL TRABAJO?;1
320/2626;VALENCIA VEGA ALIPIO ;EL PENSAMIENTO POLÍTICO EN BOLIVIA ;1
320/2627;DEPARTAMENTO DE INFORMACION PÚBLICA;ABC DE LAS NACIONES UNIDAS;1
320/2628;EASTON DAVID ;ENFOQUES SOBRE TEORÍA POLÍTICA;1
320/2629;PARADA VACA ORLANDO ;IDEOLOGÍA (APUNTES PARA SU ESTUDIO E INVESTIGACIÓN);1
320/2630;BREA FRANCO  JULIO ;ADMINISTRACIÓN Y ELECCIONES LA EXPERIENCIA DOMINICANA DE 1986;1
320/2632;CASTRO RUZ FIDEL ;LA CRISIS ECONOMICA Y SOCIAL DEL MUNDO ;1
320/2633;BAPTISTA GUMUCIO MARIANO  (CINCO SIGLOS DE DOS CULTURAS);LATINOAMERICANOS Y NORTEAMERICANOS ;1
320/2635;ACADEMIA DE CIENCIAS DE LA URSS - INSTITUTO DE AMERICA LATINA ;REVOLUCIONES LATINOAMERICANAS DEL SIGLO XX -TOMO II;1
320/2636;P. OMAN  CHARLES ;LOS DESAFIOS POLITICOS DE LA GLOBALIZACIÓN Y LA REGIONALIZACIÓN ;1
320/2637; R. YOUNG ORAN;SISTEMAS DE CIENCIAS POLÍTICAS ;1
320/2638;TEPLOV FELIX ;EL TESTAMENTO POLÍTICO DE FEDERICO ENGELS ;1
320/2639;TREPELKOV  V.;LA CRISIS GENERAL DEL CAPITALISMO;1
320/2640;MATERIAL DIDACTICO DE CIENCIAS SOCIALES ;ECONOMÍA POLÍTICA ;1
320/2641;BORRIES MÉNDEZ JORGE VON ;NEOSINDICALISMO PARA EL NEOLIBERALISMO ;1
320/2643;LIC. AGUILÓ FEDERICO ;"""NUNCA MÁS PARA BOLIVIA""";1
320/2644; TEW BRIAN;COOPERACIÓN MONETARIA INTERNACIONAL ;1
320/2646;PLATÓN ;APOLOGÍA DE SÓCRATES  ;1
320/2647;PLATON;"""EL BANQUETE"" O ""SOBRE EL AMOR""";1
320/2648;ACADEMIA DE CIENCIAS DE LA URSS ;"N!10 OCTUBRE 1984  - AMERICA LATINA """;1
320/2649;OPS/OMS / MISION DE COOPERACIÓN TÉCNICA HOLANDESA /ILDIS;POBREZA Y SALUD EN BOLIVIA ;1
320/2651;AGUDEZ FERNANDEZ ANTONIO  / FERNANDEZ MARIANO  / GRANIZO MARTIN  / RUIZ VADILLO ENRIQUE ;REGIMEN LEGAL BASICO DE LOS PAISES IBEROAMERICANOS ;1
320/2652;ILPES- INSTITUO LATINOAMERICANO Y DEL CARIBE DE PLANIFICACIPON ECONOMICA Y SOCIAL ;REFORMA Y MODERNIZACIÓN DEL ESTADO;1
320/2653;REVISTA THARSIS ;RELEXIONES SOBRE LA MODERNIDAD ;1
320/2654; ERWIN VACA DÍEZ  MARIO;EL QUIJOTE DE LA SELVA DE CEMENTO;1
320/2655;REVISTA REFLEJOS ;TESTIMONIOS : ¿POR QUÉ SOY DROGADICTO?;1
320/2656;TEOFILO GOYRET JOSÉ ;GEOPOLITICA Y SUBVERSIÓN ;1
320/2657;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );ADECUACIÓN DEL PROCESO AUTONÓMICO CRUCEÑO A LA CONSTITUCIÓN  PERIODO 2012;1
320/2658;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );ADECUACIÓN DEL PROCESO AUTONÓMICO CRUCEÑO A LA CONSTITUCIÓN  PERIODO 2011;1
320/2659;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );ADECUACIÓN DEL PROCESO AUTONÓMICO CRUCEÑO A LA CONSTITUCIÓN  PERIODO 2010;1
320/2660;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );LA APORBACIÓN DELA LEY MARCO DE AUTONOMIAS  PERIODO 210;1
320/2661;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );EL REFERENDUM POR LA NUEVA CPE PERIODO 2009;1
320/2662;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );EL MEMORÁNDUM DE LA NACIÓN CAMBA  PERIODO 2001;1
320/2663;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );POSESIÓN DE RUBEN COSTAS COMO NUEVO PRESIDENTE DEL COMITÉ PRO SANTA CRUZ PERIODO 2003;1
320/2664;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );LA DESARTICULACIÓN DEL DISCURSO AUTONÓMICO CRUCEÑO PERIODO 2008-2010;1
320/2665;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );REFERENDÚM DEL ESTATUTO AUTONOMICO PERIODO 2008;1
320/2666;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );QUIEBRE DEL DISCURSO AUTONOMICO CRUCEÑO PERIODO 2008;1
320/2667;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );LAS ELECCIONES PERIODO 2009;1
320/2668;CEDIB (CENTRO DE DOCUMENTACIÓN E INFORMACIÓN - BOLIVIA );TEMA: CASO ROSZA PERIODO 2009;1
320/2669;UAGRM / DUI ;XXIII  FERIA UNIVERSITARIA DE CIENCIA TECNOLOGÍS E INNOVACIÓN  : INFORME DE LA EXPOCIENCIA 2013;1
320/2670;EQUIPO DE COORDINACIÓN PROYECTO ECOMINGA ;PROGRAMA DE FORMACIÓN DE LÍDERES EN ECODESARROLLO COMUNITARIO Y SALUD AMBIENTAL ;1
320/2671;ESTADO PLURINACIONAL DE BOLIVIA;EL LIBRO DEL MAR  (2014);1
320/2672;PGE - PROCURADURÍA GENERAL DEL ESTADO PLURINACIONAL DE BOLIVIA;LEY DE LA PROCURADURÍA GENERAL DEL ESTADO  DECRETO SUPREMO -NRO 0788;1
320/2673;BRZEZINSKI ZBIGNIEW  ;EL GRAN TABLERO  MUNDIAL;1
320/2674;BELTRAN DE FELIPE MIGUEL ;DISCRECIONALIDAD ADMINISTRATIVA Y CONSTITUCIÓN;1
320/2675;REVISTA CUARTO INTERMEDIO ;COCAÍNA MAS Y MAS ;1
320/2676;MOVIMIENTO NACIONALISTA REVOLUCIONARIO;INSTRUCCIONES  PARA DELEGADOS  SANTA CRUZ - BOLIVIA 1997;1
320/2677; OVANDO SANZ  JORGE ALEJANDRO ;HISTORIA ECONOMICA DE BOLIVIA  - SEGUNDA EDICIÓN;1
320/2678;NAPOLEONI CLAUDIO ;DICCIONARIO DE ECONOMÍA POLITICA  TOOMO II;1
320/2679;NAPOLEONI CLAUDIO ;DICCIONARIO DE ECONOMÍA POLITICA  TOOMO I;1
320/2680; AVANESOV G.;FUNDAMENTOS DE LA CRIMINOLOGÍA ;1
320/2681;EDDITORIAL TUPAC KATARI SUUCRE- BOLIVIA ;TEXTO BÁSIICO DE DERECHO COMERCIAL;1
320/2682;VELASQUEZ MALLEA  JULIO ;LA PROBLEMÁTICA DEL DISCURSO EN LA EDUCACIÓN SUPERIOR ;1
320/2682;FUNDACIÓN TIERRA ;"CUMBRE AGROPECUARIA "" SEMBRANDO BOLIVIA "" - "" APUNTES CRÍTICOS PARA LA AGENDA AGROPECUARIA ";21
320/2683;ESTADO  PLURINACIONAL DE BOLIVIA;NUEVA CONSTITUCIÓN POLITICA DEL ESTADO- INCLUYE LAS REFORMAS A LA CONSTITUCIÓN;1
320/2684;ESTADO  PLURINACIONAL DE BOLIVIA;CODIGO TRIBUTARIO 28  DE MAYO DE 1992 LEY N 1340;1
320/2685;ESTADO  PLURINACIONAL DE BOLIVIA;CODIGO DE FAMILIA ;1
320/2686;ESTADO  PLURINACIONAL DE BOLIVIA;LEY NO. 1970 NUEVO CODIGO DE PROCEDIMIENTO PENAL;1
320/2687;ESTADO  PLURINACIONAL DE BOLIVIA;CODIGO DE PROCEDIMIIENTO CIVIL;1
320/2687;RIESS CARVALHO OTTO  ;MAGISTRADOS ;1
320/2688;PÉREZ AQUINO PORFIRIO FRANKLIN ;CODIGO CIVIL CONCORDADO;1
320/2688;LIC.GUZMAN VELIZ SANDDY ;""" POSIBLES EFECTOS DE LA ALINEACIÓN DEL SOL Y LA TIERRA CON EL CENTRO GALÁCTICO""";4
320/2689;GACETA OFICIAL DE  BOLIVIA ;TEXTO ORDENADO LEY N 1984 CODIGO ELECTORAL  - 2002;1
320/2690;HEDM CESPEDES C. ;DESCENTRALIZACIÓN EDUCATIVA Y RESPONSABILIDAD  NACIONAL 1992;1
320/2691;VELASCO OLIVAREZ MARCO AURELIO  ;LA PLANIFICACIÓN REGIONAL EN LA PLANIFICACIÓN DEL DESARROLLO PERIODO 1997-2003;1
320/2692;HONORABLE SENADO NACIONAL / PROGRAMA DE APOYO A LA DEMOCRACIA MUNICIPAL ;GLOSARIO DE TÉRMINOS MUNICIPALES  4TA EDICIÓN ;1
320/2693;DUI (DIRECCION UNIVERSITARIA  DE INVESTIGACIÓN;XVII FERIA UNIVERSITARIA EXPOCIENCIA 2007;1
320/2694; VELÁSQUEZ  JUAN CARLOS / SANDOVAL A. CARMEN DUNIA;APORTES DE LOS LAICOS DE SANTA CRUZ PARA UNA NUEVA CONSTITUCIÓN ;1
320/2695;ANTELO GERMÁN  / DE CHAZAL JOSÉ ANTONIO  / TUERO  ROGER EMILIO ;AUTONOMÍAS DEPARTAMENTALES EN BOLIVIA : ¿ OPORTUNIDAD DEMOCRÁTICA O FACTOR DE POLARIZACIÓN REGIONAL Y ÉTNICA;2
320/2697;DEFENSOR DEL PUEBLO-REPUBLICA DE BOLIVIA ;NIÑEZ Y ADOLESCENCIA : PRESENTE Y FUTURO DE LOS DERECHOS HUMANOS ;2
320/2698;MARTINEZ  JULIO ;VIDA Y POLÍTICA : UNA CONVERSACIÓN CON Jesús Quijano ;1
320/2699;BALLIVIAN RIOS  JULIO ;HISTORIA JURIDICA POLITICA DE BOLIVIA TOMO I;1
320/2700;U.M.S.A 2008;CIENCIA POLÍTICA - LA DEMOCRACIA Y SUS PERSPECTIVAS EN BOLIVIA;3
320/2701;JORDÁN  ALVARO ;KANDIRE (ORIGEN Y EVOLUCIÓN DEL LLANO BOLIVIANO);1
320/2702;RIVAS VALENZUELA  SALOMON ;RESERVAS: 40 MIL MILLONES DE TONELADAS DE HIERRO 10 MIL MILLONES DE TONELADAS DE MANGANESO  - SEGUNDA EDICIÓN ;18
320/2703;ARDAYA SALINAS  RUBEN ;GESTIÓN  PUBLICA EN MUNIICIPIOS PARTICIPATIVOS - EXPERIENCIA EN BOLIVIA Y PROPUESTAS PARA PERÚ Y HONDURAS ;2
320/2704;UAGRM;CONOCIMIENTO  Y POLÍTICA ;7
320/2705;GANTIER PACHECO RAUL ;VENCER EL LABERINTO Y CONSTRUIR NUESTRO DESTINO - BOLIVIA EN SU LABERINTO ;11
320/2706;URENDA DÍAZ JUAN CARLOS ;AUTONOMÍAS DEPARTAMENTALES - UN APORTE PARA LA ASAMBLEA CONSTITUYENTE -3RA EDICIÓN ACTUALIZADA;1
320/2708;AMDECRUZ- ASOCIACIÓN DE MUNICIPIOS EN SANTA CRUZ ;DEL ESTADO MUNICIPAL AUTONOMICO AL ESTADO NACIONAL ;3
320/2709;U.A.G.R.M;RESEÑA HISTÓRICA U.A.G.R.M;1
320/2710;FAM - BOLIVIA;LOS 100 PRIMEROS DÍAS DEL GOBIERNO MUNICIPAL;1
320/2711;SALAZAR DE LA TORRE CECILIA  / RODRIGUEZ FRANCO  JUAN MIRKO ;INTELECTUALES AYMARAS Y NUEVAS MAYORÍAS MESTIZAS - UNA PERSPECTIVA POST 1952;1
320/2712;AMNISTÍA INTERNACIONAL;IINFORME 1998 - UN AÑO DE PROMESAS ROTAS;1
320/2713;PINTO QUINTANILLAS JUAN CARLOS ;BOLIVIA : LECCIONES DE UNA ELECCIÓN INÉDITA ;1
320/2714;COSTAS AGUILERA  RUBÉN A. ;RENDICIÓN DE CUENTAS AL PUEBLO GESTIÓN 2006-2009;1
320/2715;FUNDACIÓN NUEVA DEMOCRACIA OBSERVATORIO DE DERECHOS HUMANOS ;REPORTE CRONOLOGICO DE VIOLACIONES A LOS DERECHOS HUMANOS  SUCEDIDAS EN BOLIVIA PERIODO 2012;1
320/2716;USAID DEL PUEBLO DE LOS ESTADOS UNIDOS DE AMERICA ;HACIA UNA CULTURA DEMOCRÁTICA ;1
320/2717;DR. MENACHO VACA ALBERTO ;CATALOGO UNIVERSIDAD AUTONOMA GABRIEL RENE MORENO - 1ER  ENCUENTRO UNIVERSIDAD - MUNICIPIOS;1
320/2718;FUNDACIÓN W.P. SCMITH ALEMANIA ;ESTUDIO DE POBREZA EN LOS MUNICIPIOS: VALLEGRANDE , TRIGAL, PUCARÁ , MORO MORO Y POSTRERVALLE;1
320/2719;CORTE ELECTORAL DEPARTAMENTAL EN SANTA CRUZ;REFERÉNDUM NACIONAL CONSTITUYENTE 09 -MEMORIA DE RESULTADOS;4
320/2720;DEFENSOR DEL PUEBLO;IV INFORME ANUAL DE LA DEFENSORA DEL PUEBLO AL HONORABLE CONGRESO NACIONAL;1
320/2721;CENTRO DE CONCILIACIÓN Y ARBITRAJE COMERCIAL CAINCO ;MANUAL CONCILIACIÓN Y ARBITRAJE ;1
320/2722;DEFENSOR DEL PUEBLO UNICEF COORDINADORA DE LA MUJER ;AVANCES Y RETROCESOS EN LA LUCHA CONTRA LA VIOLENCIA A LA MUJER ;1
320/2723;MINISTERIO DE DESARROLLO SOSTENIBLE Y PLANIFICACIÓN ;LEY DEL DIALOGO AVANCES AL AÑO DE SU IMPLEMENTACIÓN  3RA REUNION INFORMATIVA 2002;1
320/2724;NACIONES UNIDAS - NUEVA YORK GINEBRA;PUBLICACIONES DE LAS NACIONES UNIDAS  CATALOGO 1998-1999;1
320/2725;FUNDACION NUEVA DEMOCRACIA OBSERVATORIO DE DERECHOS HUMANOS ;REPORTE CRONOLOGICO DE VIOLACIONES A LOS DERECHOS HUMANOS SUCEDIDAS EN BOLIVIA  PERIODO 2013;10
320/2726;UNITAS - UNION NACIONAL DE INSTITUCIONES PARA EL TRABAJO DE ACCIÓN SOCIAL;CONSTRUYENDO UNA CULTURA DE RENDICIPON DE CUENTAS  - INFORME COLECTIVO ;2
320/2727;CEBEM (CENTRO BOLIVIANO DE ESTUDIOS MULTIDICIPLINARIOS);CONSTRUCCIÓN DE AGENDA PÚBLICA ALTERNATIVA OXÍMORON: LAS AUTONOMÍAS CENTRALISRTAS DE BOLIVIA O DE LAS AUTONOMIAS A LA HETERONOMÍA ;7
320/2728;CEDURE;"VII FORO URBANO  PARA LA PLANIFICACION ESTRATEGICA DE SANTA CRUZ DE LA SIERRA  --TEMA :  """"EVALUACIÓN DE LOS AVANCES DEL PLOT"""" 2006";1
320/2729;ASOBAN - ASOCIACION DE BANCOS PRIVADOS DE BOLIVIA ;MEMORIA ANUAL PERIODO 2007 Y 2008;1
320/2730;GERMAN ANTELO VACA ;MEMORIA COMITÉ PRO SANTA CRUZ GESTIÓN 2005-2007;1
320/2731;ICO- INSTITUTO DE CAPACITACIÓN DEL ORIENTE ;MEMORIA INSTITUCIONAL 1981-2006;1
320/2732;LA SOCIEDAD DE ESTUDIOS GEOGRAFICOS E HISTORICOS EN SU CENTENARIO ; LIBRO HOMENAJE 1903-2003;1
320/2733;CEDURA;"VIII FORO PARA LA PLANIFICACIÓN ESTRATEGICA DE SANTA CRUZ--TEMA :   "" ALTERNATIVAS AL USO DEL FUEGO EN LAS ACTIVIDADES AGROPECUARIAS""";1
320/2734;UAGRM;"""PROYECTO : DIPLOMADOS EN CIENCIA POLÍTICA Y CIENCIAS SOCIALES """;1
320/2735;ANTEPROYECTO D LEY -APROBADO POR EL CONGRESO NACIONAL DE EDUCACIÓN;"NUEVA LEY DE LA EDUCACIÓN BOLIVIANA ""AVELINO SIÑANI Y ELIZARDO PÉREZ"" 2006";1
320/2736;FAM- BOLIVIA (FEDERACIÓN DE ASOCIACIONES MUNICILES E BOLIVIA ;CARPERTA MUNICIPAL DE SALUD ;1
320/2737;USAID DEL PUEBLO DE LOS ESTADOS UNIDOS DE AMERICA ;GUÍA LEGAL  --PÁRA EL EJERCICIO DE PARTICIPACIÓN DEMOCRATTICA Y CONTROL SOCIAL EN EL MUNICIPIO;1
320/2738;USAID DEL PUEBLO DE LOS ESTADOS UNIDOS DE AMERICA ;MÓDULO II GOBIERNO MUNICIPAL TRANSPARENTE ;1
320/2739;USAID DEL PUEBLO DE LOS ESTADOS UNIDOS DE AMERICA ;MODULO III: PARTICIPACIÓN SOCIAL PARA LA TRANSPARENCIA ;1
320/2740;USAID DEL PUEBLO DE LOS ESTADOS UNIDOS DE AMERICA ;MODULO INTRODUCTORIO -CONCEPTOS BASICOS PARA UNA GESTION MUNICIPAL TRANSPARENTE ;1
320/2743;LOPEZ GÍSELA ;"REVISTA BIMENSUAL NRO 1 JULIO 2006  ""RED LIDERES EN ACCIÓN """;1
320/2744;FEDERACION DE PROFESIONALES DE SANTA CRUZ ;MEMORIA 2008-2010;1
320/2745;ESTADO PLURINACIONAL DE BOLIVIA ;LEY NRO 458 DE PROTECCIÓN DE DENUNCIANTES Y TESTIGOS ;1
320/2746;ABCP (ASOCIACIÓN BOLIVIANA DE CIENCIA POLÍTICA / KONRAD ADENAUER STIFTUNG ;LA CALIDAD DE LA DEMOCRACIA EN BOLIVIA 2014 (PERCEPCIÓN Y EVALUACIÓN DE LOS ACTORES;5
320/2747;VILLA ALVAREZ GIOVANNA T. ;MONOGRAFÍA PROVINCIA  ANDRÉS IBANEZ ;1
320/2748;TICONA ESQUIVEL  MARTHA ;MONOGRAFÍA PROVINCIA MANUEL MARÍA CABALLERO ;2
320/2749; ARGEDAS DORADO  MARCELO;MONOGRAFÍA PROVINCIA VELASCO;2
320/2750;AGUIRRE B. C. ZUELLY ;MONOGRAFIA PROVINCIA OBISPO SANTIESTEBAN ;2
320/2751;SANCHEZ F. LUZ MÓNICA ;MONOGRAFÍA PROVINCIA CORDILLERA ;2
320/2752;VARGAS MOISÉS ;MONOGRAFÍA PROVINCIA ICHILO ;1
320/2753;BURELA VALVIDIIA JOSÉ ALBERTO ;MONOGRAFIA PROVINCIA  ÑUFLO DE CHAVEZ;2
320/2754;ENCINA TOLEDO F. VIVIANA ;MONOGRAFÍA PROVINCIA WARNES ;2
320/2755;VILLARROEL HERBAS ARIEL F. ;MONOGRAFÍA PROVINCIA CHIQUITOS ;2
320/2756;VEGA  LENNY ;MONOGRAFÍA PROVINCIA SARA ;2
320/2757;ROSAS SKUBBE HOSANNA MARGARET ;MONOGRAFÍA PROVINCIA FLORIDA ;2
320/2758;PANTOJA ABREGO JUNIOR RAUL ;MONOGRAFÍA  PROVINCIA GERMAN BUSH;1
320/2759; RODRIGUEZ SAUCEDO  MARIANA;MONOGRAFÍA PROVINCIA GUARAYOS ;2
320/2760;VACA PEREIRA JAIME ;MONOGRAFÍA PROVINCIA VALLEGRANDE ;2
320/2761;SOTO MAYOR LOMBARDO ;MONOGRAFÍA ANGEL SANDOVAL ;2
320/2762;CARRERA DE SOCIOLOGÍA UAGRM;REVISTA N° 9  SOCIOLOGICAS ;1
320/2763;KLINSKY MARIN  RICARDO ;EL LÍDER ILIMITADO;2
320/2764;FCJ,P- UMSS;ESPACIO PUBLICO REVISTA DE LA CARRERA DE CIENCIA POLITICA  AÑO 2002;3
320/2765;INSTITUTO DE INVESTIGACIONES CARRERA DE CIENCIAS POLITICAS ;REVISTA CIENCIA POLITICA 3 : LA NUEVA CONSTITUCIONALIDAD EN BOLIVIA  2009;1
320/2766;JIMENEZ ORELLANA JORGE ANGEL;FUNDAMENTOS DE ELABORAIÓN Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN ;1
320/2767;OBSERVATORIO POLÍTICO NACIONAL DE LA UAGRM ;EL ESTADO PLURINACIONAL AUTONÓMICO ALCANCES Y LPIMITES ;3
320/2768;JIMENEZ ORELLANA JORGE ANGEL;ESTRUCTURAS METODOLÓGICAS PARA PROYECTOS DE INVERSIÓN Y ENCUENTAS DE MERCADO;1
320/2769;CARERRA CIENCIAS POLITICA Y ADMINISTRACÓN PUBLICA ;"PROYECTO TECNICO- ADEMICO "" CREACIÓN DE LA FACULTAD DE CIENCIAS SOCIALES EN LA UAGRM""";1
320/2770;SOCIEDAD DE ESTUDIOS GEOGRAFICOS E HISTORICOS DE SANTA CRUZ;BOLETIN 58 DIRECTORIO 2005-2006;1
320/2771;UAGRM;BOLETÍN 2 : RESEÑA SOCIO-HISTORICA EN LA SECCIÓN MUNICIPAL DE SAN ANTONIO DE LOMERÍO AÑO 2009 ;12
320/2772;DEFENSOR DEL PUEBLO;SOMOS IGUALES , TENEMOS LOS MISMOS DERECHOS ;1
320/2773;REFLEXIONES EN TORNO A LA VIOLENCIA ;XV REUNIÓN ANUAL DE ETNOLOGÍA  TOMO II ;1
